SKU,Product Name,Quantity,Pack,Selling Price,MRP,Out of Stock
00043a6f-b506-433f-b9db-b293c0cf5797,Himalaya Extra Moisturizing Baby Wash,400 ml,1,₹291,₹330,No
000465ad-1c14-4930-96a6-8bbc06cdbe8e,Midazzle Organic Neem Comb Regular-1C M199 Minc2102,1 piece,1,₹142,₹199,No
00048d47-18ea-4e1a-b746-4fc6ffaafc50,Unibic Wafer Belgium Chocolate Qubz 150 gms Combo,150gms,4,₹336,₹600,Yes
0006f6cd-ed90-49ea-9e8d-bcddaebe00c4,Elle18 Eyedrama Kajal Bold Black,0.35 g,1,₹109,₹125,No
000ee403-8233-41d3-9dfc-02510fb3b692,Real Activ Coconut Water 1L Tetra 1 l Combo,1 L,2,₹182,₹356,Yes
00105db7-72b2-458d-aeb0-095efc53e017,Organic Cauliflower,1 pc (Approx. 350g - 500g),1,₹73,₹164,Yes
001345fd-efa0-4c09-bf8e-b347d7eaba87,Epigamia Fruit Yogurt - Mango 75 gms Combo,75 g,2,₹64,₹70,No
00183144-9a44-46c5-a07f-6a5cb89ae441,Renee See Me Shine Lip Gloss - Nice And Nude,2.5 ml,1,₹256,₹350,No
0018584e-5eef-48ae-b668-39b432e86532,YiPPee! Instant Pasta - Tricolor Creamy Corn,65 g,1,₹29,₹32,No
00196224-a7ae-4c4f-a2b7-7c724470d254,Godrej Yummiez Aloo Tikki,400 g,1,₹119,₹130,Yes
0019e6dc-fb9d-4099-a1d6-2d9eb5a336d9,Kids Umbrella - 19 inch - Assorted Color,1 Piece,1,₹215,₹349,No
001c9b87-508c-4d3c-ac83-dcae6dc92d25,Happilo Natural Popular Californian Almonds,400 g,1,₹408,₹600,Yes
00213fa5-9adc-4eea-9dbd-59cc0e8dd3ee,Sumeru Aloo Paratha,400 g,1,₹153,₹169,No
00243799-0502-4fa8-853b-fe3ad78ae09f,Dukes Bourbon Biscuits,125g,1,₹31,₹36,Yes
00272ba7-aba8-4a63-b083-465e31b92041,Chandar Namaz Prayer Mat | Assorted Colors,1 piece,1,₹220,₹250,Yes
00285c63-196a-4bb4-b4cd-29b0753cf0a3,Cadbury Dairy Milk Lickables Chocolate With Oreo Chunks,20 g,1,MRP₹45(incl. of all taxes),N/A,Yes
002ab147-b856-464d-84e6-9465f9705b0f,Campure Air Purifier Lemon & Camphor Can,250 ml,1,₹150,₹199,No
002b0d9b-598d-4c73-91ae-914c33dba90b,SUGAR Cosmetics Nothing Else Matter Lipstick - Beige Turner | Long Lasting,3.2 g,1,₹501,₹599,No
002da346-3c46-49c4-80ea-fa376dd509d5,Whisper Choice Nights Sanitary Pads - XXL,40 piece,1,₹239,₹335,No
0033df82-e6aa-4fd8-ab4e-0f1f00777888,Organic Cabbage,1 pc (Approx. 600g - 800g),1,₹63,₹116,No
004038d9-998d-4b2c-b5d4-61627d72776b,Koparo Natural Liquid Detergent (Top Load & Front Load) 900 ml Combo,900ml,2,₹466,₹538,Yes
00407495-0743-4230-8873-4b4b23ca0b6b,Patanjali Kesh Kanti Aloevera Hair Cleanser Natural Nourishing Shampoo For Thick & Strong Hair,650 ml,1,₹464,₹650,No
00407495-0743-4230-8873-4b4b23ca0b6b,Patanjali Kesh Kanti Aloevera Hair Cleanser Natural Nourishing Shampoo For Thick & Strong Hair,650 ml,1,₹464,₹650,No
0045ec52-0f21-443c-90ea-72ae8b2fb5ae,Keya Classic All Purpose Seasoning,60 g,1,₹120,₹139,No
004c937c-98cd-4fde-8d2c-2e2ef9e6cf99,Goldiee Masale Kitchen King Box,100 g,1,₹54,₹88,No
005490c6-c43e-4381-88c5-08ba9e0bff98,MARS Liquid Blush Hour Dewy-Matte Finish - 03-SUNKISSED,12 ml,1,₹240,₹249,No
0055a8c0-6817-45f7-a32f-7696c7608de3,Enn Beauty Liquid Lipstick - Sangria Red | Paraben Free,1.5 ml,1,₹192,₹299,No
0056b981-4aec-4fb4-a6bf-557a70f2cd8e,True Elements Flax Seeds Roasted,125 g,1,₹95,₹125,Yes
0058fc7f-4bc8-4d89-9896-58e774d2d489,Raw Pressery Masala Lemon Shikanji,200 ml,1,MRP₹50(incl. of all taxes),N/A,No
005f3e2f-1d3b-4c60-87e4-33849a249ca1,Open Secret Premium Black Raisins-Kishmish,500 g,1,₹272,₹525,No
005fcc2b-617b-422e-9a8b-ad8e4e67b381,Gullak Christmas Tree Hairband Assorted,1 piece,1,₹47,₹99,Yes
006522a1-243b-45f9-ba08-28038f0fe249,Pepsi Soft Drink 750 ml Combo,750ml,4,MRP₹180(incl. of all taxes),N/A,No
006986d9-6cec-4067-9bbd-3ebe73e59a3d,"Wok Tok by Veeba Instant Noodles Kung Pao Pack of 2 (no Maida,No palm oil)",92.5 g x 2,1,₹142,₹158,No
006e0b63-1904-4e8f-821d-d8b332e3ad76,Khadi Essentials Sandalwood Hair Shampoo for Hair Fall Control - Sulfate & Paraben Free,200 ml,1,₹320,₹399,No
007691bd-2e77-4fcb-a0d0-f86d931ca426,"Wok Tok by Veeba Instant Noodles Manchurian (No Maida,No Palm Oil)",92.5 g,1,₹63,₹69,No
0077f3d0-282a-413b-af13-d2ec99296ae7,24 Mantra Organic Whole Wheat Atta,1 kg,1,MRP₹85(incl. of all taxes),N/A,No
007ec75c-4873-401e-9985-94e445aa5eb9,Fortune Soyabean Oil,1 l,1,₹172,₹178,Yes
00864b21-a661-4fd3-81f4-8be3e60c2fc2,Pears Naturale Nourishing Coconut Water Bodywash,250 ml,1,₹170,₹220,No
008b8970-7d4a-4c22-9eb7-86f3628ca926,Whisper Ultra Skin Love Sanitary Pads - XL+,15 piece,1,MRP₹195(incl. of all taxes),N/A,No
008c6f5d-c5c8-43fc-b828-870b1e7b8eb1,Rom&nd Juicy Lasting Tint 12 Cherry Bomb,5.5 g,1,₹763,₹890,No
008ffd2b-0a2a-4c89-bdb8-7cf7e9f54e64,Cello Signature Carbon Ball Pen Blue 1 pc,1 Piece,1,MRP₹200(incl. of all taxes),N/A,Yes
009fd5b8-4225-4b58-be7b-2f46ad425b36,Open Secret Cream & Onion Puff Snacks - Not Fried,75 g,1,₹68,₹75,No
00a13a25-a034-4a9a-af0d-d6b75b2829b5,Lakme Cc Tinted Serum With 2% Hyaluronic Acid - Dolce,30 ml,1,₹630,₹699,No
00a1be94-129f-4187-8a0b-4d10c695132d,Fortune Unpolished Chana Dal,1 kg,1,₹158,₹180,No
00a59209-0c27-4280-b42e-38de8ace24d1,On1y Garlic Herb Bread seasoning,48 g,1,₹87,₹99,Yes
00ad3f99-f9bd-4955-bc0b-42a3d71b4e3d,Head & Shoulders Anti Dandruff Anti Hairfall Shampoo,340 ml,1,₹336,₹420,No
00ad8437-6d25-4b73-9305-423a58112af3,Cello Butterflow Classic Gel pen Blister (2 Blue + 1 Black ),1 Pack (3 Pieces),1,MRP₹60(incl. of all taxes),N/A,No
